ID,BAD,LOAN,MORTDUE,VALUE,YOJ,CLAGE,NINQ,CLNO,DEBTINC,DEROGzero,REASON_HomeImp,REASON_IsMissing,JOB_Office,JOB_Other,JOB_ProfExe,JOB_Sales,JOB_Self,DELINQcat_1,DELINQcat_1+
0,True,-1.6532765485448468,-1.178335493273615,-1.214631245498397,0.24051903666232086,-1.048118277692907,-0.09640128339378977,-1.235873184175012,0.13686152257149953,True,1,0,0,1,0,0,0,0,0
1,True,-1.6342286816169653,-0.05765336951090076,-0.6345001461311525,-0.2419414393120053,-0.7080233051575778,-0.7463465877229601,-0.7308541115751799,0.13686152257149953,True,1,0,0,1,0,0,0,0,1
2,True,-1.615180814689084,-1.491770450160614,-1.655530881017503,-0.655478990147142,-0.36586475679790986,-0.09640128339378977,-1.1348693696550456,0.13686152257149953,True,1,0,0,1,0,0,0,0,0
3,True,-1.615180814689084,-0.18530964564109115,-0.22301686031443,-0.2419414393120053,-0.06869438523377835,-0.09640128339378977,-0.12483122445538138,0.13686152257149953,True,0,1,0,1,0,0,0,0,0
4,False,-1.5961329477612025,0.6459776781220734,0.22656252390840023,-0.7933248404255209,-1.060913121389984,-0.7463465877229601,-0.7308541115751799,0.13686152257149953,True,1,0,1,0,0,0,0,0,0
5,True,-1.5961329477612025,-1.059453367231038,-1.1890561042667176,0.03375026124475251,-0.9602136721113909,-0.09640128339378977,-1.3368769986949784,0.4863587722601501,True,1,0,0,1,0,0,0,0,0
6,True,-1.586609014297262,-0.60043345180939,-0.8589096672242589,-0.5176331398687631,-1.2619158918418754,-0.09640128339378977,-0.42784266801528065,0.13686152257149953,False,1,0,0,1,0,0,0,0,1
7,True,-1.586609014297262,-1.1113375032982549,-1.1354569279711364,0.3094419618015103,-1.1174659556011126,-0.7463465877229601,-1.3368769986949784,0.45153349181122177,True,1,0,0,1,0,0,0,0,0
8,True,-1.5675611473693805,-1.0048811967439164,-1.0622666010177744,-0.7933248404255209,0.4695142178727006,-0.09640128339378977,-0.9328617406151127,0.13686152257149953,True,1,0,0,1,0,0,0,0,1
9,True,-1.5675611473693805,-0.18530964564109115,-0.7559573805518692,0.9986712131934048,-0.7827286676947133,-0.7463465877229601,-0.8318579260951463,0.13686152257149953,True,1,0,0,0,0,1,0,0,0
10,True,-1.5675611473693805,-1.260802360571068,-0.22301686031443,1.2743629137501626,-0.06869438523377835,-0.09640128339378977,-0.12483122445538138,0.13686152257149953,True,0,1,0,1,0,0,0,0,0
11,True,-1.5675611473693805,-1.311038173644947,-1.3968170971294722,0.3094419618015103,-0.6993559102795501,-0.09640128339378977,-1.235873184175012,0.13686152257149953,True,1,0,1,0,0,0,0,1,0
12,True,-1.5675611473693805,-0.6929677687738446,-0.8991386731616572,-0.7933248404255209,-1.150889747387231,0.5535440209353806,0.3801878481444507,0.13686152257149953,True,1,0,0,1,0,0,0,0,0
13,False,-1.5675611473693805,-0.19755795342235494,-0.2592664137744667,-0.8622477655647104,-0.39475627942631536,-0.7463465877229601,0.2791840336244843,0.13686152257149953,True,0,1,0,0,0,0,0,0,0
14,True,-1.55803721390544,-0.033638571438733444,-0.32937587429374215,-0.1040955890336264,-0.6935775562254738,-0.7463465877229601,-0.528846482535247,0.13686152257149953,True,1,0,0,1,0,0,0,1,0
15,True,-1.5485132804414992,-1.218402421419364,-1.3003030313385708,-0.2419414393120053,1.5087851276401414,-0.7463465877229601,-1.3368769986949784,0.13686152257149953,True,1,0,0,1,0,0,0,1,0
16,True,-1.5485132804414992,0.4724473051465286,0.040920572110881986,-0.2419414393120053,-0.6948157661069909,-0.09640128339378977,0.07717640458455147,0.13686152257149953,False,1,0,0,0,0,0,0,0,1
17,True,-1.5485132804414992,-1.2501009405220136,-0.22301686031443,1.4122087640285415,-0.06869438523377835,-0.09640128339378977,-0.12483122445538138,-3.7633987441376737,True,0,1,0,1,0,0,0,0,0
18,True,-1.5389893469775584,-1.1191987360357118,-1.1924134587141195,-0.5865560650079525,-1.5405131151832487,-0.09640128339378977,-0.528846482535247,0.13686152257149953,True,1,0,0,1,0,0,0,0,0
19,False,-1.5389893469775584,0.7618674639613603,0.40337660842363227,-0.9311706907038998,-1.0898972125891317,-0.7463465877229601,-0.8318579260951463,-0.35491084911279863,True,1,0,1,0,0,0,0,0,0
20,True,-1.5389893469775584,-0.879963672664195,-1.0729311386742275,-0.7933248404255209,-0.702657720749604,-0.09640128339378977,-0.7308541115751799,0.13686152257149953,True,1,0,0,1,0,0,0,1,0
